parkingnm,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,day,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,lat,lng,데이터기준일자
언주로147길,공영,노상,서울특별시 강남구 언주로 147길 18,서울특별시 강남구 논현동 63-16,14,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51982005,127.0327639,2020-02-28
도산대로45길,공영,노상,서울특별시 강남구 도산대로 323,서울특별시 강남구 신사동 651,46,1,요일제,평일,10:00,20:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.52289662,127.0370142,2020-02-28
언주로171길,공영,노상,서울특별시 강남구 언주로 857,서울특별시 강남구 신사동 621,30,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.5270208,127.0329843,2020-02-28
선릉로146길,공영,노상,서울특별시 강남구 선릉로 742,서울특별시 강남구 청담동 23-4,32,1,요일제,평일,10:00,20:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.52138784,127.0437374,2020-02-28
선릉로132길,공영,노상,서울특별시 강남구 학동로 405,서울특별시 강남구 청담동 42,17,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51778433,127.0423598,2020-02-28
테헤란로64길,공영,노상,서울특별시 강남구 테헤란로 412,서울특별시 강남구 대치동 890,12,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.5047631,127.05126,2020-02-28
영동대로85길,공영,노상,서울특별시 강남구 테헤란로 504,서울특별시 강남구 대치동 942,74,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.50662718,127.057346,2020-02-28
테헤란로26길,공영,노상,서울특별시 강남구 테헤란로 152,서울특별시 강남구 역삼동 737,12,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.50002568,127.0365099,2020-02-28
논현로28길,공영,노상,서울특별시 강남구 논현로28길 25,서울특별시 강남구 도곡동 517-10,66,2,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,600,10,24000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.48363566,127.0438602,2020-02-28
영동대로106길,공영,노상,서울특별시 강남구 영동대로106길33,서울특별시 강남구 삼성동 162-23,62,2,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,600,10,24000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51416345,127.0638489,2020-02-28
영동대로96길,공영,노상,서울특별시 강남구 테헤란로103길10,서울특별시 강남구 삼성동 169,82,2,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,600,10,24000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51020596,127.0643703,2020-02-28
남부순환로397길,공영,노상,서울특별시 강남구 남부순환로2921,서울특별시 강남구 대치동 623,33,2,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,600,10,24000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49349291,127.059774,2020-02-28
대치동507-3,공영,노상,서울특별시 강남구 삼성로 151,서울특별시 강남구 대치동 506,26,2,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,600,10,24000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49315606,127.0629987,2020-02-28
헌릉로745길,공영,노상,서울특별시 강남구 헌릉로745길 37,서울특별시 강남구 율현동 101-13,225,2,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,600,10,24000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.47031417,127.1186383,2020-02-28
은마아파트,공영,노상,서울특별시 강남구 삼성로 212,서울특별시 강남구 대치동 316,56,2,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,5,600,10,24000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49961649,127.0659173,2020-02-28
압구정로29길,공영,노상,서울특별시 강남구 압구정로29길 51,서울특별시 강남구 압구정동 444,173,3,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,200,5,400,10,16000,80000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.53084614,127.0271391,2020-02-28
대치유수지,공영,노상,서울특별시 강남구 역삼로107길20-30,서울특별시 강남구 대치동 78-24,99,3,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,200,5,400,10,16000,80000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.50431853,127.0680522,2020-02-28
일원동맛의거리,공영,노상,서울특별시 강남구 일원로 53,서울특별시 강남구 일원동 687,25,4,요일제,평일,11:00,21:00,0:00,0:00,0:00,0:00,유료,5,100,5,100,10,10000,50000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.489263,127.0818109,2020-02-28
도산대로25길32,공영,노외,서울특별시 강남구 도산대로25길32,서울특별시 강남구 신사동 564,26,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,0,0,10,30000,,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.52174613,127.0266426,2020-02-28
도곡로327,공영,노외,서울특별시 강남구 도곡로 327,서울특별시 강남구 역삼동 765-22,22,1,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,400,0,0,10,30000,280000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49615651,127.0516657,2020-02-28
도곡로21길7,공영,노외,서울특별시 강남구 도곡로 21길7,서울특별시 강남구 역삼동 795-25,78,1,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,400,0,0,10,30000,280000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49259343,127.0388718,2020-02-28
도곡로421,공영,노외,서울특별시 강남구 도곡로 421,서울특별시 강남구 대치동 939-21,29,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,0,0,10,30000,280000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49767882,127.0564526,2020-02-28
강남치매지원센터,공영,노외,서울특별시 강남구 선릉로 108길 27,서울특별시 강남구 삼성동 113-26,115,1,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,400,0,0,10,30000,280000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.5103117,127.0463776,2020-02-28
역삼1동문화센터,공영,노외,서울특별시 강남구 역삼로 7길 16,서울특별시 강남구 역삼동 829-20,118,1,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,400,0,0,10,30000,280000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49537384,127.0332825,2020-02-28
삼성1동문화센터,공영,노외,서울특별시 강남구 봉은사로 616,"서울특별시 강남구 삼성동 161-2,3",67,1,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,400,0,0,10,30000,280000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51435513,127.0626094,2020-02-28
압구정428,공영,노외,서울특별시 강남구 압구정로 161,서울특별시 강남구 압구정동 428,343,1,요일제,평일+토요일+공휴일,9:00,21:00,9:00,21:00,9:00,21:00,유료,5,400,0,0,10,30000,,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.52684211,127.0270562,2020-02-28
역삼문화공원,공영,노외,서울특별시 강남구 테헤란로7길 32,서울특별시 강남구 역삼동 635,59,2,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,300,0,0,10,25000,180000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.50251419,127.0303905,2020-02-28
언북초교,공영,노외,서울특별시 강남구 삼성로 135길 42,서울특별시 강남구 청담동 27,225,2,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,300,0,0,10,25000,180000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.52012607,127.0447141,2020-02-28
논현로32길15,공영,노외,서울특별시 강남구 논현로 32길15,서울특별시 강남구 도곡동 516-2,21,2,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,300,0,0,10,25000,180000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.48425211,127.0434399,2020-02-28
대치2문화센터,공영,노외,서울특별시 강남구 영동대로 65길 24,서울특별시 강남구 대치동 980-9,158,2,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,300,0,0,10,25000,180000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.50230604,127.0641871,2020-02-28
논현초교,공영,노외,서울특별시 강남구 강남대로 120길33,서울특별시 강남구 논현동 168,192,2,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,300,0,0,10,25000,180000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.50849066,127.0262217,2020-02-28
도곡초교,공영,노외,서울특별시 강남구 선릉로 64길 33,서울특별시 강남구 대치동 924-10,200,2,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,300,0,0,10,25000,180000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.4995106,127.0544636,2020-02-28
신구초교,공영,노외,서울특별시 강남구 압구정로 18길 28,서울특별시 강남구 신사동 550-11,185,2,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,300,0,0,10,25000,180000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.5233613,127.0239915,2020-02-28
구룡산제1호,공영,노외,서울특별시 강남구 양재대로 478,서울특별시 강남구 개포동 570,92,3,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,200,0,0,10,18000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.47606698,127.0672849,2020-02-28
구룡산제2호,공영,노외,서울특별시 강남구 양재대로 478,서울특별시 강남구 개포동 570,132,3,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,200,0,0,10,18000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.47606698,127.0672849,2020-02-28
포이초교,공영,노외,서울특별시 강남구 개포로22길 87,서울특별시 강남구 개포동 1273,190,3,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,200,0,0,10,18000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.47529287,127.0514162,2020-02-28
논현로22길,공영,노외,서울특별시 강남구 개포로25길 32,서울특별시 강남구 개포동 1266,96,3,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,200,0,0,10,18000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.48202648,127.0484224,2020-02-28
개포동공원,공영,노외,서울특별시 강남구 개포로 509,서울특별시 강남구 개포동 183-1,149,3,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,200,0,0,10,18000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.48970767,127.0682922,2020-02-28
언주초교,공영,노외,서울특별시 강남구 남부순환로363길19,서울특별시 강남구 도곡동 922,191,3,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,200,0,0,10,18000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.48632308,127.0367927,2020-02-28
개포로24길33,공영,노외,서울특별시 강남구 개포로24길 33,서울특별시 강남구 개포동 1204,36,3,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,200,0,0,10,18000,120000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.47713885,127.0497488,2020-02-28
탄천제2호,공영,노외,서울특별시 강남구 양재대로 55길28,서울특별시 강남구 일원동 712,323,4,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,100,0,0,0,12000,70000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49314747,127.0877676,2020-02-28
탄천주차장,공영,노외,서울특별시 강남구 봉은사로114길13,서울특별시 강남구 삼성동 171,926,4,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,100,0,0,0,12000,70000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51411154,127.0664911,2020-02-28
대청역,공영,노외,서울특별시 강남구 개포로623-1,서울특별시 강남구 개포동 13-2,168,4,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,100,0,0,0,12000,70000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49491581,127.0793202,2020-02-28
일원1동(기계식),공영,노외,서울특별시 강남구 양재대로 27길 5,서울특별시 강남구 일원동 684-8,68,4,요일제,평일,6:00,0:00,0:00,0:00,0:00,0:00,유료,5,100,0,0,0,12000,70000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.48956575,127.0817931,2020-02-28
영희초교,공영,노외,서울특별시 강남구 일원로21,서울특별시 강남구 일원동 617,187,4,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,100,0,0,0,12000,70000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.49230166,127.0811312,2020-02-28
대왕초교,공영,노외,서울특별시 강남구 헌릉로 618길 8,서울특별시 강남구 세곡동 517,100,4,요일제,평일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,100,0,0,0,12000,70000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.46462136,127.1055895,2020-02-28
구청 부설,공영,부설,서울특별시 강남구 학동로426,서울특별시 강남구 삼성동 16-1,201,2,요일제,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,5,300,0,0,0,25000,180000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51796636,127.0470611,2020-02-28
삼성로별관 부설,공영,부설,서울특별시 강남구 삼성로628,서울특별시 강남구 삼성동 66,45,2,요일제,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,5,300,0,0,0,25000,180000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51590994,127.0521409,2020-02-28
강남대로150길,공영,노상,서울특별시 강남구 도산대로 108,서울특별시 강남구 논현동 1,7,1,요일제,평일,10:00,20:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51619355,127.0206546,2020-02-28
논현로131길,공영,노상,서울특별시 강남구 학동로171,서울특별시 강남구 논현동 58,21,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.51404727,127.0295491,2020-02-28
테헤란로69길,공영,노상,서울특별시 강남구 테헤란로63길 20,서울특별시 강남구 삼성동 142,22,1,요일제,평일,9:00,19:00,0:00,0:00,0:00,0:00,유료,5,400,5,800,10,30000,150000,카드/현금/무통장/지로,,강남구도시관리공단,1544-3113,37.50652223,127.0503971,2020-02-28
밤고개로21길,공영,노외,서울특별시 강남구 개포로623-1,서울특별시 강남구 개포동 13-2,110,4,요일제,평일+토요일+공휴일,0:00,0:00,0:00,0:00,0:00,0:00,유료,5,100,0,0,0,12000,70000,카드,,강남구도시관리공단,1544-3113,37.49491581,127.0793202,2020-02-28
